step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
28000,10,1.975474,0.539427,0.288183,0.099255,4.5177,91.62
28000,11,2.452935,0.759912,0.515266,0.197097,4.5177,91.62
29000,0,1.025543,0.15277,0.002209,0.001123,4.484,88.59
29000,1,1.363017,0.281551,0.018296,0.008231,4.484,88.59
29000,2,1.426998,0.329659,0.041858,0.015663,4.484,88.59
29000,3,1.467727,0.192619,0.031607,0.014931,4.484,88.59
29000,4,1.452793,0.17172,0.025492,0.01292,4.484,88.59
29000,5,1.360896,0.23284,0.059886,0.040232,4.484,88.59
29000,6,1.448775,0.427081,0.0636,0.062813,4.484,88.59
29000,7,1.336961,0.35823,0.074727,0.058226,4.484,88.59
29000,8,1.562713,0.407651,0.152995,0.052693,4.484,88.59
29000,9,1.696147,0.390505,0.179246,0.0516,4.484,88.59
29000,10,2.066334,0.590697,0.269071,0.09352,4.484,88.59
29000,11,2.496471,0.786215,0.566107,0.214195,4.484,88.59
30000,0,1.033972,0.153495,0.002197,0.001084,4.487,88.85
30000,1,1.37039,0.29169,0.018051,0.008052,4.487,88.85
30000,2,1.473772,0.33852,0.03788,0.015464,4.487,88.85
30000,3,1.47963,0.194949,0.033373,0.015209,4.487,88.85
30000,4,1.464766,0.174962,0.024027,0.012347,4.487,88.85
30000,5,1.367616,0.234553,0.059265,0.039929,4.487,88.85
30000,6,1.458905,0.428104,0.059687,0.059811,4.487,88.85
30000,7,1.377831,0.383195,0.081512,0.061198,4.487,88.85
30000,8,1.596726,0.425039,0.166615,0.055962,4.487,88.85
30000,9,1.773902,0.425061,0.196713,0.055616,4.487,88.85
30000,10,2.093176,0.608309,0.326732,0.111944,4.487,88.85
30000,11,2.608044,0.844119,0.678286,0.256104,4.487,88.85
31000,0,1.038779,0.15318,0.00233,0.001154,4.4964,89.69
31000,1,1.382965,0.296368,0.019609,0.008631,4.4964,89.69
31000,2,1.474842,0.351756,0.039228,0.015764,4.4964,89.69
31000,3,1.491387,0.198077,0.03204,0.015191,4.4964,89.69
31000,4,1.470576,0.175376,0.025258,0.012912,4.4964,89.69
31000,5,1.392255,0.237511,0.067334,0.043162,4.4964,89.69
31000,6,1.468565,0.441772,0.063238,0.062279,4.4964,89.69
31000,7,1.368439,0.373821,0.079964,0.059405,4.4964,89.69
31000,8,1.603509,0.427654,0.155177,0.054575,4.4964,89.69
31000,9,1.755324,0.419182,0.193719,0.055546,4.4964,89.69
